mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
borrowed_ready,small_data_4b_chunks,baseline,0,1,5077661,5077661,100000
borrowed_ready,small_data_4b_chunks,step2,0,1,5122442,5122442,100000
borrowed_ready,small_data_4b_chunks,step1,0,1,5208894,5208894,100000
borrowed_ready,small_data_4b_chunks,core,0,1,5998426,5998426,100000
borrowed_ready,small_data_4b_chunks,step2,1,1,5053395,5053395,100000
borrowed_ready,small_data_4b_chunks,baseline,1,1,4999241,4999241,100000
borrowed_ready,small_data_4b_chunks,core,1,1,6039831,6039831,100000
borrowed_ready,small_data_4b_chunks,step1,1,1,5166409,5166409,100000
borrowed_ready,small_data_4b_chunks,step1,2,1,5196528,5196528,100000
borrowed_ready,small_data_4b_chunks,baseline,2,1,5035222,5035222,100000
borrowed_ready,small_data_4b_chunks,core,2,1,6054337,6054337,100000
borrowed_ready,small_data_4b_chunks,step2,2,1,5087353,5087353,100000
borrowed_ready,small_data_4b_chunks,step2,3,1,5086346,5086346,100000
borrowed_ready,small_data_4b_chunks,core,3,1,6056703,6056703,100000
borrowed_ready,small_data_4b_chunks,step1,3,1,5229747,5229747,100000
borrowed_ready,small_data_4b_chunks,baseline,3,1,5011195,5011195,100000
borrowed_ready,small_data_4b_chunks,baseline,4,1,4970561,4970561,100000
borrowed_ready,small_data_4b_chunks,core,4,1,6158018,6158018,100000
borrowed_ready,small_data_4b_chunks,step1,4,1,5217135,5217135,100000
borrowed_ready,small_data_4b_chunks,step2,4,1,5076749,5076749,100000
borrowed_ready,small_data_4b_chunks,core,5,1,5935434,5935434,100000
borrowed_ready,small_data_4b_chunks,baseline,5,1,5038274,5038274,100000
borrowed_ready,small_data_4b_chunks,step2,5,1,5066237,5066237,100000
borrowed_ready,small_data_4b_chunks,step1,5,1,5194212,5194212,100000
borrowed_ready,small_data_4b_chunks,step1,6,1,5130444,5130444,100000
borrowed_ready,small_data_4b_chunks,baseline,6,1,5075386,5075386,100000
borrowed_ready,small_data_4b_chunks,step2,6,1,5090795,5090795,100000
borrowed_ready,small_data_4b_chunks,core,6,1,6108772,6108772,100000
borrowed_ready,small_data_4b_chunks,baseline,7,1,5086254,5086254,100000
borrowed_ready,small_data_4b_chunks,core,7,1,6048176,6048176,100000
borrowed_ready,small_data_4b_chunks,step1,7,1,5222594,5222594,100000
borrowed_ready,small_data_4b_chunks,step2,7,1,5100146,5100146,100000
borrowed_ready,small_data_4b_chunks,baseline,8,1,5027317,5027317,100000
borrowed_ready,small_data_4b_chunks,step2,8,1,5059790,5059790,100000
borrowed_ready,small_data_4b_chunks,core,8,1,5993886,5993886,100000
borrowed_ready,small_data_4b_chunks,step1,8,1,5177961,5177961,100000
borrowed_ready,small_data_4b_chunks,core,9,1,5989372,5989372,100000
borrowed_ready,small_data_4b_chunks,step1,9,1,5198085,5198085,100000
borrowed_ready,small_data_4b_chunks,baseline,9,1,5076097,5076097,100000
borrowed_ready,small_data_4b_chunks,step2,9,1,5084054,5084054,100000
borrowed_ready,small_data_4b_chunks,step1,10,1,5192718,5192718,100000
borrowed_ready,small_data_4b_chunks,step2,10,1,5045149,5045149,100000
borrowed_ready,small_data_4b_chunks,core,10,1,5946927,5946927,100000
borrowed_ready,small_data_4b_chunks,baseline,10,1,5033270,5033270,100000
borrowed_ready,small_data_4b_chunks,step2,11,1,5044125,5044125,100000
borrowed_ready,small_data_4b_chunks,core,11,1,6068764,6068764,100000
borrowed_ready,small_data_4b_chunks,baseline,11,1,5035611,5035611,100000
borrowed_ready,small_data_4b_chunks,step1,11,1,5272971,5272971,100000
borrowed_ready,small_data_4b_chunks,step1,12,1,5181760,5181760,100000
borrowed_ready,small_data_4b_chunks,step2,12,1,5065771,5065771,100000
