mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
bytes_tokio,small_data_whole_stream_chunk,data_only,0,1,3921052,3921052,100000
bytes_tokio,small_data_whole_stream_chunk,step2,0,1,4214874,4214874,100000
bytes_tokio,small_data_whole_stream_chunk,step1,0,1,3806269,3806269,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,0,1,3991020,3991020,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,0,1,4605996,4605996,100000
bytes_tokio,small_data_whole_stream_chunk,step2,1,1,3955222,3955222,100000
bytes_tokio,small_data_whole_stream_chunk,step1,1,1,3679166,3679166,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,1,1,3824865,3824865,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,1,1,3851527,3851527,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,1,1,3731230,3731230,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,2,1,3810977,3810977,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,2,1,3848433,3848433,100000
bytes_tokio,small_data_whole_stream_chunk,step1,2,1,3703217,3703217,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,2,1,3741886,3741886,100000
bytes_tokio,small_data_whole_stream_chunk,step2,2,1,3850355,3850355,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,3,1,3710534,3710534,100000
bytes_tokio,small_data_whole_stream_chunk,step2,3,1,4047645,4047645,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,3,1,3819967,3819967,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,3,1,3834507,3834507,100000
bytes_tokio,small_data_whole_stream_chunk,step1,3,1,3663407,3663407,100000
bytes_tokio,small_data_whole_stream_chunk,step1,4,1,3724933,3724933,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,4,1,4040581,4040581,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,4,1,3730364,3730364,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,4,1,3861103,3861103,100000
bytes_tokio,small_data_whole_stream_chunk,step2,4,1,3817056,3817056,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,5,1,3761938,3761938,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,5,1,3849373,3849373,100000
bytes_tokio,small_data_whole_stream_chunk,step1,5,1,3709823,3709823,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,5,1,3829162,3829162,100000
bytes_tokio,small_data_whole_stream_chunk,step2,5,1,3810216,3810216,100000
bytes_tokio,small_data_whole_stream_chunk,step1,6,1,3694872,3694872,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,6,1,3801809,3801809,100000
bytes_tokio,small_data_whole_stream_chunk,step2,6,1,3811189,3811189,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,6,1,3841260,3841260,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,6,1,3797868,3797868,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,7,1,3837914,3837914,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,7,1,3722604,3722604,100000
bytes_tokio,small_data_whole_stream_chunk,step1,7,1,3681472,3681472,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,7,1,3828817,3828817,100000
bytes_tokio,small_data_whole_stream_chunk,step2,7,1,3844718,3844718,100000
bytes_tokio,small_data_whole_stream_chunk,step2,8,1,3826056,3826056,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,8,1,3819959,3819959,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,8,1,3761911,3761911,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,8,1,3781472,3781472,100000
bytes_tokio,small_data_whole_stream_chunk,step1,8,1,3681669,3681669,100000
bytes_tokio,small_data_whole_stream_chunk,step2,9,1,3820594,3820594,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,9,1,3782734,3782734,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,9,1,3794467,3794467,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,9,1,3876905,3876905,100000
bytes_tokio,small_data_whole_stream_chunk,step1,9,1,3704787,3704787,100000
bytes_tokio,small_data_whole_stream_chunk,step1,10,1,3743478,3743478,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,10,1,3967086,3967086,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,10,1,3787858,3787858,100000
bytes_tokio,small_data_whole_stream_chunk,step2,10,1,3789599,3789599,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,10,1,3853927,3853927,100000
bytes_tokio,small_data_whole_stream_chunk,step2,11,1,3838576,3838576,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,11,1,3737766,3737766,100000
bytes_tokio,small_data_whole_stream_chunk,step1,11,1,3781860,3781860,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,11,1,3831112,3831112,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,11,1,3799631,3799631,100000
bytes_tokio,small_data_whole_stream_chunk,step1,12,1,3670449,3670449,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,12,1,3819990,3819990,100000
bytes_tokio,small_data_whole_stream_chunk,step2,12,1,3818306,3818306,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,12,1,3697618,3697618,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,12,1,3832701,3832701,100000
bytes_tokio,small_data_whole_stream_chunk,step1,13,1,3656379,3656379,100000
bytes_tokio,small_data_whole_stream_chunk,cold_copy,13,1,3826713,3826713,100000
bytes_tokio,small_data_whole_stream_chunk,data_only,13,1,3826249,3826249,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,13,1,4008826,4008826,100000
bytes_tokio,small_data_whole_stream_chunk,step2,13,1,4038426,4038426,100000
