mode,scenario,variant,reference,rounds,ratio_median,ratio_p10,ratio_p90
bytes_tokio,alternating_sizes_tcp,baseline,step1,31,1.1023511607656598,1.0883172296601151,1.1242963078131762
bytes_tokio,alternating_sizes_tcp,baseline,core,31,1.217338346545301,1.202723195062682,1.2361374568083752
bytes_tokio,alternating_sizes_tcp,core,baseline,31,0.8214643059901234,0.8089715221330915,0.8314465074799554
bytes_tokio,alternating_sizes_tcp,core,step1,31,0.9063373023349391,0.8908427755071672,0.9178599077302733
bytes_tokio,alternating_sizes_tcp,step1,baseline,31,0.9071519453977172,0.8894452405923666,0.9188497367741786
bytes_tokio,alternating_sizes_tcp,step1,core,31,1.1033419869443346,1.0894908815364281,1.122532536036663
bytes_tokio,comment_crlf_tcp,baseline,step1,31,0.9991686610802037,0.9252439343943567,1.0070524611744613
bytes_tokio,comment_crlf_tcp,baseline,core,31,0.4204967538269105,0.35979730147226124,0.4254600221989129
bytes_tokio,comment_crlf_tcp,core,baseline,31,2.3781396429320143,2.350397094494758,2.779342690754159
bytes_tokio,comment_crlf_tcp,core,step1,31,2.377990136072945,2.217312364647852,2.688085587969484
bytes_tokio,comment_crlf_tcp,step1,baseline,31,1.0008320306192324,0.992996927720889,1.0807960612620249
bytes_tokio,comment_crlf_tcp,step1,core,31,0.42052319092097573,0.3720119643792206,0.45099644774624137
bytes_tokio,json_crlf_tcp,baseline,step1,31,0.997753178029261,0.9157769089606282,1.0564846265394956
bytes_tokio,json_crlf_tcp,baseline,core,31,0.9182226510688012,0.8984704487866507,0.982856536192533
bytes_tokio,json_crlf_tcp,core,baseline,31,1.0890604787804035,1.0174424884773914,1.1130026606333698
bytes_tokio,json_crlf_tcp,core,step1,31,1.085421379981065,1.0350533048682722,1.1092008143350214
bytes_tokio,json_crlf_tcp,step1,baseline,31,1.0022518815476757,0.9465353066948919,1.091969004912956
bytes_tokio,json_crlf_tcp,step1,core,31,0.9213011816824953,0.9015500052616816,0.9661338167769695
bytes_tokio,json_line_tcp,baseline,step1,31,1.0011595751703677,0.9876809028681475,1.0155667093302605
bytes_tokio,json_line_tcp,baseline,core,31,1.3006601306469876,1.27804636453888,1.3158986108078117
bytes_tokio,json_line_tcp,core,baseline,31,0.7688403576286833,0.7599369676255787,0.7824442271785662
bytes_tokio,json_line_tcp,core,step1,31,0.7703983783531575,0.7574096187103682,0.7799015080490856
bytes_tokio,json_line_tcp,step1,baseline,31,0.9988417678868322,0.9846718987662305,1.0124727501524822
bytes_tokio,json_line_tcp,step1,core,31,1.2980297312380777,1.2822131893314173,1.3202895438569786
bytes_tokio,json_metadata_after_tcp,baseline,step1,31,0.9858175334674752,0.9662622881955074,0.9999427557986805
bytes_tokio,json_metadata_after_tcp,baseline,core,31,0.9672232147512686,0.9562862389477286,0.9796326780819087
bytes_tokio,json_metadata_after_tcp,core,baseline,31,1.033887508848886,1.0207907743114184,1.0457120047030823
bytes_tokio,json_metadata_after_tcp,core,step1,31,1.0164371893187252,1.0080661760744425,1.0219586965625014
