mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
bytes_tokio,small_data_whole_stream_chunk,step1,0,1,3807525,3807525,100000
bytes_tokio,small_data_whole_stream_chunk,core,0,1,3527305,3527305,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,0,1,3781990,3781990,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,1,1,4040917,4040917,100000
bytes_tokio,small_data_whole_stream_chunk,core,1,1,3223339,3223339,100000
bytes_tokio,small_data_whole_stream_chunk,step1,1,1,3754808,3754808,100000
bytes_tokio,small_data_whole_stream_chunk,core,2,1,2999848,2999848,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,2,1,3656887,3656887,100000
bytes_tokio,small_data_whole_stream_chunk,step1,2,1,3664209,3664209,100000
bytes_tokio,small_data_whole_stream_chunk,core,3,1,2986591,2986591,100000
bytes_tokio,small_data_whole_stream_chunk,step1,3,1,3629085,3629085,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,3,1,3686968,3686968,100000
bytes_tokio,small_data_whole_stream_chunk,step1,4,1,3632666,3632666,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,4,1,3697492,3697492,100000
bytes_tokio,small_data_whole_stream_chunk,core,4,1,2990721,2990721,100000
bytes_tokio,small_data_whole_stream_chunk,core,5,1,2873631,2873631,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,5,1,3646424,3646424,100000
bytes_tokio,small_data_whole_stream_chunk,step1,5,1,3726491,3726491,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,6,1,3637977,3637977,100000
bytes_tokio,small_data_whole_stream_chunk,step1,6,1,3683119,3683119,100000
bytes_tokio,small_data_whole_stream_chunk,core,6,1,2981175,2981175,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,7,1,3723539,3723539,100000
bytes_tokio,small_data_whole_stream_chunk,core,7,1,2946171,2946171,100000
bytes_tokio,small_data_whole_stream_chunk,step1,7,1,3658527,3658527,100000
bytes_tokio,small_data_whole_stream_chunk,step1,8,1,3679793,3679793,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,8,1,3652507,3652507,100000
bytes_tokio,small_data_whole_stream_chunk,core,8,1,3024500,3024500,100000
bytes_tokio,small_data_whole_stream_chunk,step1,9,1,3636957,3636957,100000
bytes_tokio,small_data_whole_stream_chunk,core,9,1,2984031,2984031,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,9,1,3657577,3657577,100000
bytes_tokio,small_data_whole_stream_chunk,step1,10,1,3691789,3691789,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,10,1,3665591,3665591,100000
bytes_tokio,small_data_whole_stream_chunk,core,10,1,2984665,2984665,100000
bytes_tokio,small_data_whole_stream_chunk,baseline,11,1,3658670,3658670,100000
bytes_tokio,small_data_whole_stream_chunk,core,11,1,2993016,2993016,100000
bytes_tokio,small_data_whole_stream_chunk,step1,11,1,3672144,3672144,100000
bytes_tokio,small_data_whole_stream_chunk,core,12,1,3057928,3057928,100000
