case,variant,round,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
json_line_tcp,baseline,focus1,1132698.655263158,1076836.7368421052,1098706.466200658,1173918.3333552633
json_line_tcp,current,focus1,978434.9792688197,907520.1822580646,941909.5962795778,1019691.2916075061
large_data_tcp_chunks,baseline,focus1,140026.55078239745,130172.41405982905,134175.10584920284,146402.6701970682
large_data_tcp_chunks,current,focus1,127138.17751617971,118212.65598779557,122930.74170510445,131846.10149717075
large_json_base64_tcp,baseline,focus1,129264.39746302196,119263.25464511334,125467.27328887457,133387.4163373011
large_json_base64_tcp,current,focus1,120301.87716181786,117026.3042929293,118077.03050589946,122980.87188067612
large_json_utf8_tcp,baseline,focus1,224282.20446689636,213566.5752136752,219421.94650309545,229889.349230459
large_json_utf8_tcp,current,focus1,218347.1174854972,213661.24163473817,215473.88568427326,221703.77316256223
large_utf8_tcp,baseline,focus1,252644.43861915864,234863.01700454194,242189.86568953795,264062.0435398677
large_utf8_tcp,current,focus1,237928.41940150573,228643.0198801743,231409.0568763006,245468.0946787607
json_line_tcp,baseline,focus2,1053560.8011452311,1016159.1891304348,1029821.0876296819,1081914.7324749997
json_line_tcp,current,focus2,888147.9254070563,830832.2833333333,860734.1242514914,918538.9500849101
large_data_tcp_chunks,baseline,focus2,126794.538893196,121036.44611111112,123592.70095942216,130502.94129446599
large_data_tcp_chunks,current,focus2,122598.19453212996,118336.00055555555,119981.8296942117,125749.85331284876
large_json_base64_tcp,baseline,focus2,136364.43266151904,123209.077245671,130993.17076848267,142224.43471130275
large_json_base64_tcp,current,focus2,126085.12967513525,119763.475,122607.76523580535,130101.18022082582
large_json_utf8_tcp,baseline,focus2,238082.82899694837,218882.52817613533,230077.84431206784,246557.6041401593
large_json_utf8_tcp,current,focus2,225439.96376361916,217054.93751848565,220406.6118437549,231419.86381978507
large_utf8_tcp,baseline,focus2,241207.16295779176,217553.75787037038,232742.53064548623,250242.49942776398
large_utf8_tcp,current,focus2,225173.2196521388,216161.24935897434,219929.8204740457,231448.20383740764
