kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,small_data_whole_stream_chunk,1,current,3392334.499999999,3289980.583333333,3323682.277812501,3473420.784791667
decode,small_data_whole_stream_chunk,1,baseline,4002233.7049999996,3880687.0999999996,3922405.576499999,4091215.242625
decode,small_data_whole_stream_chunk,1,core,3555532.483333333,3347177.8333333335,3431823.6935416656,3696567.5784374997
decode,small_data_whole_stream_chunk,2,current,3476809.7416666658,3272590.583333333,3331705.531562499,3658846.7214583335
decode,small_data_whole_stream_chunk,2,baseline,4135424.96,3867645.5,3951701.137875,4357814.623
decode,small_data_whole_stream_chunk,2,core,3478774.883333334,3216212.0833333335,3299056.081041666,3698394.5756249987
decode,small_data_whole_stream_chunk,3,current,3479771.039999999,3441154.3,3428249.7207500003,3546390.8033749997
decode,small_data_whole_stream_chunk,3,baseline,4299009.049999999,4070702.1,4134855.113375,4489444.42375
decode,small_data_whole_stream_chunk,3,core,3654788.125,3400695.3,3482643.92725,3854411.2293750006
decode,small_data_tcp_chunks,1,current,3492275.0916666663,3312740.166666667,3379805.888333334,3625882.3139583324
decode,small_data_tcp_chunks,1,baseline,4161787.2299999995,3947088.8,4014280.45825,4336498.209124999
decode,small_data_tcp_chunks,1,core,3486835.9333333336,3275638.666666667,3355951.8747916673,3644531.9303125
decode,small_data_tcp_chunks,2,current,3523142.3583333334,3306588.166666667,3376524.2467708336,3708768.3986458327
decode,small_data_tcp_chunks,2,baseline,3940573.14375,3869702.875,3888203.0762500004,4004674.1237500003
decode,small_data_tcp_chunks,2,core,3499299.2791666673,3237468.0,3329604.3156250003,3708519.1207291665
decode,small_data_tcp_chunks,3,current,3735725.620000001,3485211.1,3566045.0061250003,3930910.83425
decode,small_data_tcp_chunks,3,baseline,4080520.1375,4065031.5,4028371.08,4138667.3665625
decode,small_data_tcp_chunks,3,core,3498807.0100000002,3445977.6,3446434.1951249996,3562208.8219999997
decode,small_data_event_chunks,1,current,4100881.0700000003,3875307.8,3948219.9240000006,4278851.572999999
decode,small_data_event_chunks,1,baseline,4682615.9625,4435157.5,4513858.84171875,4883443.5625
decode,small_data_event_chunks,1,core,4656959.5375,4452073.375,4528044.18953125,4817683.100625
decode,small_data_event_chunks,2,current,4009183.9875,3847643.25,3886147.31546875,4168327.7596875
decode,small_data_event_chunks,2,baseline,5004784.1125,4736137.625,4759214.1918750005,5294061.17
decode,small_data_event_chunks,2,core,4679541.325,4397046.0,4500349.2671875,4895619.36078125
decode,small_data_event_chunks,3,current,3859603.03125,3849697.25,3845640.50046875,3874788.29046875
decode,small_data_event_chunks,3,baseline,4433814.4625,4420059.0,4419913.5046875,4451534.0740625
decode,small_data_event_chunks,3,core,4666090.3125,4433131.625,4538749.18296875,4828086.7964062495
decode,small_data_4b_chunks,1,current,10633723.5875,10074162.5,10285602.3721875,11047570.076875
decode,small_data_4b_chunks,1,baseline,10433815.6625,10072422.25,10206851.23875,10710669.7140625
decode,small_data_4b_chunks,1,core,9115438.9,8807413.5,8925160.57,9339214.869375
decode,small_data_4b_chunks,2,current,10751155.1625,10250844.25,10367527.3890625,11225293.425624998
decode,small_data_4b_chunks,2,baseline,10615874.775,10240247.75,10312344.348125,10995978.151562499
decode,small_data_4b_chunks,2,core,8921688.1625,8742572.75,8769267.03875,9138002.532812499
decode,small_data_4b_chunks,3,current,10735481.6375,10285330.75,10432851.620000001,11106929.3103125
decode,small_data_4b_chunks,3,baseline,10615680.6,10185661.5,10273707.5353125,11034658.808125
decode,small_data_4b_chunks,3,core,8879318.575,8783785.25,8800157.5721875,8984098.9584375
