kind,case,bytes,chunks,events,validation,current_ns,current_ns_min,current_ns_max,current_mib_s,baseline_ns,baseline_ns_min,baseline_ns_max,baseline_mib_s,core_ns,core_ns_min,core_ns_max,core_mib_s,speedup_vs_baseline,speedup_vs_baseline_min,speedup_vs_baseline_max,time_change_vs_baseline_pct,consistency_vs_baseline,speedup_vs_core,speedup_vs_core_min,speedup_vs_core_max,time_change_vs_core_pct,consistency_vs_core
decode,small_data_whole_stream_chunk,1700000,1,100000,all_three_match_reference,3476809.7416666658,3392334.499999999,3479771.039999999,466.3028633581353,4135424.96,4002233.7049999996,4299009.049999999,392.0386305088764,3555532.483333333,3478774.883333334,3654788.125,455.97849140466775,1.1894309057065677,1.1797874605231295,1.2354287108498954,-15.92617988970435,all_rounds_faster_over_3pct,1.0481078688830168,1.0005652140360508,1.0502955749065608,-4.58997306587211,mixed_or_near_boundary
decode,small_data_tcp_chunks,1700000,1165,100000,all_three_match_reference,3523142.3583333334,3492275.0916666663,3735725.620000001,460.17054464344034,4080520.1375,3940573.14375,4161787.2299999995,397.31364709889874,3498807.0100000002,3486835.9333333336,3499299.2791666673,463.3711814503953,1.1184825201369772,1.092296531537024,1.1917123138239984,-10.593149021449788,all_rounds_faster_over_3pct,0.993232439469762,0.9365802968152676,0.9984425172156937,0.6813672471119414,mixed_or_near_boundary
decode,small_data_event_chunks,1700000,100000,100000,all_three_match_reference,4009183.9875,3859603.03125,4100881.0700000003,404.3831220880394,4682615.9625,4433814.4625,5004784.1125,346.22662863538744,4666090.3125,4656959.5375,4679541.325,347.4528415250482,1.1487747383865101,1.1418560749678117,1.2483298666521974,-12.950732063926552,all_rounds_faster_over_3pct,1.167205431227419,1.1355997547863537,1.2089560182019043,-14.325278717353784,all_rounds_faster_over_3pct
decode,small_data_4b_chunks,1700000,425000,100000,all_three_match_reference,10735481.6375,10633723.5875,10751155.1625,151.0175689023086,10615680.6,10433815.6625,10615874.775,152.7218460105728,8921688.1625,8879318.575,9115438.9,181.7196822351529,0.9874171300241432,0.9812005716196165,0.9888406462285284,1.27432162084824,all_rounds_within_3pct,0.8298353086390962,0.8271001595292887,0.8572198463683265,20.50583888024342,all_rounds_slower_over_3pct
decode,metadata_events_tcp_chunks,2088890,1431,50000,all_three_match_reference,3822444.0849999995,3751665.039999999,4131173.08125,521.1641291537301,4435914.70625,4372774.8125,4809318.7375,449.08905484387356,4493853.35,4492874.49375,4669080.43125,443.2990103688746,1.164153290823828,1.1604917188082295,1.16555576414146,-14.100659433575336,all_rounds_faster_over_3pct,1.175649205081832,1.1302069265607342,1.1975681319753433,-14.940613605025632,all_rounds_faster_over_3pct
decode,multiline_data_tcp_chunks,1900000,1302,50000,all_three_match_reference,2414809.4321428575,2366583.260714286,2737814.803125,750.3619859410422,3131196.8124999995,2923534.054166667,3177976.583333333,578.6864606971668,2933032.1535714287,2867091.349999999,3137882.9464285704,617.7842949882096,1.2106686412817167,1.1607712032625155,1.3230875348771531,-17.401015777420735,all_rounds_faster_over_3pct,1.1872950767199029,1.1461268099094666,1.2393530378838968,-15.774939220445205,all_rounds_faster_over_3pct
decode,keepalive_whole_stream_chunk,2600000,1,0,all_three_match_reference,1021665.4037321046,966500.4882199711,1070623.7771595013,2426.9718966684563,1060406.8000617102,954795.7829787887,1099261.5113749832,2338.3037740911814,1175211.7958866418,1073915.9766294383,1209408.8806928638,2109.8777525335713,1.037919847523548,0.891812608077864,1.137362603302479,-3.653446613823208,mixed_or_near_boundary,1.1502902922949512,1.0030750292868253,1.2513277493736847,-13.065422989453046,mixed_or_near_boundary
decode,keepalive_tcp_chunks,2600000,1781,0,all_three_match_reference,921467.0505895065,901332.547169077,967309.9694151072,2690.8756217272894,1017322.1182515861,1015297.4566174423,1230575.628745018,2437.33344451187,1114847.847176053,1105151.8499816675,1229355.7447397315,2224.118052465223,1.1286867665511597,1.1018271960651311,1.2721626651786675,-11.401459675511017,all_rounds_faster_over_3pct,1.236888483254698,1.1993395198175008,1.270901555458043,-19.15196773692639,all_rounds_faster_over_3pct
decode,keepalive_line_chunks,2600000,200000,0,all_three_match_reference,3308328.520833333,3232891.420833334,3346407.894999999,749.4882104488453,3404941.3916666666,3328782.0291666663,3642505.508333333,728.2219978072947,3176690.2599999993,3101978.654166667,3208380.437499999,780.5461092250935,1.029660943054071,1.0292029253518624,1.0884822241113359,-2.880651466306372,mixed_or_near_boundary,0.959505980985615,0.9492836377616782,0.9697889484965181,4.220298759658503,all_rounds_slower_over_3pct
decode,keepalive_4b_chunks,2600000,650000,0,all_three_match_reference,10341720.7,10251044.4375,11246973.95,239.76215318368153,10260861.825,10138011.3,10738994.575,241.65155568267778,9636658.7625,9002460.5375,10030555.0,257.3042466031027,0.9889735003892378,0.9548341289614172,0.9921812938730786,1.114943889439135,mixed_or_near_boundary,0.8781993476262305,0.8568223599824377,0.9699116124843713,13.869362657009043,all_rounds_slower_over_3pct
