run,scenario,implementation,mean_ns,mean_ci95_low,mean_ci95_high,median_ns
1,keepalive_4b_chunks,sse_core,9357612.9875,9090684.578125,9693608.000937501,8993686.75
1,keepalive_4b_chunks,sse_baseline,9923897.2875,9822601.501249999,10055987.547812501,9822555.25
1,keepalive_4b_chunks,sse_stream,9759020.275,9446049.167187499,10116760.657499999,9369663.25
1,keepalive_line_chunks,sse_core,3224352.7464285716,3093459.2808035715,3385267.5568750007,3036326.3571428573
1,keepalive_line_chunks,sse_baseline,3442076.616666666,3296699.3677083342,3616482.97625,3215524.6666666665
1,keepalive_line_chunks,sse_stream,3534852.6392857144,3353180.951607144,3734071.8689285708,3247849.6428571427
1,keepalive_tcp_chunks,sse_core,1185479.903371502,1140197.3214132502,1241098.94810676,1122455.6176470588
1,keepalive_tcp_chunks,sse_baseline,1061452.0846459547,1015128.161028927,1122258.8776415535,1004614.375
1,keepalive_tcp_chunks,sse_stream,949846.886172471,932729.3123059241,971096.6502450781,927751.9166666667
1,keepalive_whole_stream_chunk,sse_core,1105541.903721345,1084592.4585162525,1130030.0376077536,1074574.8309523808
1,keepalive_whole_stream_chunk,sse_baseline,1014101.9114818303,973788.2053157121,1065182.8964128445,956818.582051282
1,keepalive_whole_stream_chunk,sse_stream,1077418.7515636738,1036842.697025741,1126762.572043285,1040768.4459770115
1,large_data_event_chunks,sse_core,91743.17408853261,90585.59611760262,93698.561961969,90282.33887096774
1,large_data_event_chunks,sse_baseline,96964.63094738813,93706.7453080963,100650.68019022005,95283.89031620554
1,large_data_event_chunks,sse_stream,78463.92472299744,76020.89345632838,81327.95861500414,75044.19056735121
1,large_data_tcp_chunks,sse_core,127905.21759141477,124504.07776178287,132070.5677949003,123323.17003367003
1,large_data_tcp_chunks,sse_baseline,151673.6597086891,142919.88573402472,161467.96993290185,134675.4553884712
1,large_data_tcp_chunks,sse_stream,118444.89021006638,112452.04950186113,125012.21990349893,106881.49594907407
1,large_utf8_tcp,sse_core,1059197.8102768315,1029392.8995930806,1095240.7419054837,1013033.1866515838
1,large_utf8_tcp,sse_baseline,1047956.0670411506,1030218.4791966658,1070098.7495760298,1024232.4196428572
1,large_utf8_tcp,sse_stream,221202.13023357117,216071.94272140178,226874.14648385652,214513.55225225227
1,medium_data_10b_chunks,sse_core,1762985.9549999996,1719904.1409999996,1817126.5409374996,1700720.2999999998
1,medium_data_10b_chunks,sse_baseline,1889032.1290733474,1828222.4548295748,1957791.728576235,1783409.763888889
1,medium_data_10b_chunks,sse_stream,1649334.5754656545,1625280.1959871943,1680162.9555744126,1623740.3993055555
1,metadata_events_tcp_chunks,sse_core,4712898.8375,4614775.0996875,4847790.0678125,4627187.75
1,metadata_events_tcp_chunks,sse_baseline,4630900.3149999995,4447181.869375002,4851195.120999998,4395168.800000001
1,metadata_events_tcp_chunks,sse_stream,4410453.600000001,4226854.2754999995,4632672.733,4152354.5999999996
1,mixed_multiline_tcp,sse_core,618888.0463990511,598132.7204744044,647310.7193796606,594939.75
1,mixed_multiline_tcp,sse_baseline,615135.3893520788,598774.614783741,638455.7018845406,599615.380952381
1,mixed_multiline_tcp,sse_stream,489667.7817682255,465399.709191678,518482.68178795173,468678.4697197197
1,mixed_tcp,sse_core,540050.5373030377,520148.557319247,564974.9331834124,512191.05592105264
1,mixed_tcp,sse_baseline,597491.6607063669,580942.49314992,616860.0002867247,579478.925
1,mixed_tcp,sse_stream,296032.42116090155,286550.2080473692,308066.1309181231,282350.17500000005
1,mixed_whole,sse_core,537457.634074772,515402.43652402767,565266.6353665701,503504.6439393939
1,mixed_whole,sse_baseline,591217.8917288735,565796.4632223216,621100.7790774691,549197.7485632184
1,mixed_whole,sse_stream,306648.49752046715,294831.75340372155,320785.0816542548,293952.7986111111
1,multiline_data_tcp_chunks,sse_core,2888520.771875,2769824.904296875,3037589.124609375,2731141.6875
