run,scenario,implementation,mean_ns,ci95_low_ns,ci95_high_ns,sample_count
adaptive,keepalive_4b_chunks,sse_stream,9726718.108333332,9614835.706041666,9873781.616875,30
adaptive,keepalive_line_chunks,sse_stream,3312561.8982787416,3203017.035400776,3458197.5000540763,30
adaptive,keepalive_tcp_chunks,sse_stream,1098476.4688904437,1076249.6883193487,1127805.137397202,30
adaptive,keepalive_whole_stream_chunk,sse_stream,1080034.5277522367,1061209.1998652883,1103489.5320449579,30
adaptive,large_data_event_chunks,sse_stream,89244.54341671323,88001.04778629467,90936.16804026862,30
adaptive,large_data_tcp_chunks,sse_stream,132356.25902544032,129124.45619517188,135920.72273418185,30
adaptive,medium_data_10b_chunks,sse_stream,1732126.646333382,1704329.272505565,1766724.3545810336,30
adaptive,metadata_events_tcp_chunks,sse_stream,3815497.691338798,3781104.0163075575,3862526.2149364934,30
adaptive,multiline_data_tcp_chunks,sse_stream,2469520.9599266937,2429377.4003792373,2521401.7406317308,30
adaptive,small_data_4b_chunks,sse_stream,9753978.891666668,9603547.249583334,9940901.875625001,30
adaptive,small_data_event_chunks,sse_stream,3901040.0092897722,3872799.5912651164,3949048.703138965,30
adaptive,small_data_tcp_chunks,sse_stream,3641377.993602188,3573594.524706453,3722782.4471894563,30
adaptive,small_data_whole_stream_chunk,sse_stream,3576409.784531047,3523138.61090174,3646853.605333899,30
always_inline,keepalive_4b_chunks,sse_stream,11633562.566666665,11477547.120277777,11812217.98388889,30
always_inline,keepalive_line_chunks,sse_stream,3714052.607079615,3691879.5715518454,3743704.907212041,30
always_inline,keepalive_tcp_chunks,sse_stream,981640.6962256447,964561.7686648386,1003622.3807868125,30
always_inline,keepalive_whole_stream_chunk,sse_stream,1063172.3971862523,1028803.1851124484,1107233.332250152,30
always_inline,large_data_event_chunks,sse_stream,89689.80230162005,87541.96107538343,92198.85843367944,30
always_inline,large_data_tcp_chunks,sse_stream,142201.10501834136,137712.24610515428,148345.4966825887,30
always_inline,medium_data_10b_chunks,sse_stream,2059731.287538911,2040196.7714977972,2087687.9788444152,30
always_inline,metadata_events_tcp_chunks,sse_stream,4267496.813423858,4189441.971814161,4364116.564899387,30
always_inline,multiline_data_tcp_chunks,sse_stream,2817386.107094796,2740877.7211146066,2917777.6750595993,30
always_inline,small_data_4b_chunks,sse_stream,10927273.977777777,10798723.750555554,11091804.806666665,30
always_inline,small_data_event_chunks,sse_stream,4382607.445833334,4305477.640208333,4479182.329999999,30
always_inline,small_data_tcp_chunks,sse_stream,3842157.1360729653,3790923.1681794943,3904758.78736848,30
always_inline,small_data_whole_stream_chunk,sse_stream,3810227.1105866637,3761663.637857496,3869228.02716542,30
baseline,keepalive_4b_chunks,sse_core,9336376.033333333,9076017.041041667,9640861.693958333,30
baseline,keepalive_4b_chunks,sse_stream,10051271.708333334,9854522.647083333,10274833.600625,30
baseline,keepalive_line_chunks,sse_core,3079773.5810238854,3027777.0068782223,3144698.942314694,30
baseline,keepalive_line_chunks,sse_stream,3270871.841380772,3213629.661821361,3342777.816847225,30
baseline,keepalive_tcp_chunks,sse_core,1074026.3502487133,1061368.0606525207,1094853.9992064778,30
baseline,keepalive_tcp_chunks,sse_stream,1045075.2134831544,1014740.3193482596,1083167.3296662788,30
baseline,keepalive_whole_stream_chunk,sse_core,1122356.393411848,1066054.07664231,1191140.5934781255,30
baseline,keepalive_whole_stream_chunk,sse_stream,1076957.7864948337,997114.1743624129,1187321.4607157002,30
baseline,large_data_event_chunks,sse_core,93235.4356726613,91411.17705646083,95403.13847030357,30
baseline,large_data_event_chunks,sse_stream,89349.1259087522,88039.22888903778,91123.97220421885,30
baseline,large_data_tcp_chunks,sse_core,124762.89842443974,122706.35543848018,127547.4731981079,30
baseline,large_data_tcp_chunks,sse_stream,136374.65128333072,133257.57542181344,140265.66638726473,30
baseline,medium_data_10b_chunks,sse_core,1693606.4548041762,1671793.884896584,1720186.457982332,30
baseline,medium_data_10b_chunks,sse_stream,1802053.349917847,1765522.9252581068,1848655.3898848332,30
baseline,metadata_events_tcp_chunks,sse_core,4493348.441666666,4395327.431145834,4615225.868125,30
baseline,metadata_events_tcp_chunks,sse_stream,4203563.304362815,4131577.283005216,4294316.094909736,30
baseline,multiline_data_tcp_chunks,sse_core,2775980.8940986926,2707447.534391908,2875445.9208752764,30
baseline,multiline_data_tcp_chunks,sse_stream,2964892.7860592464,2843748.0895808535,3110725.822470291,30
baseline,small_data_4b_chunks,sse_core,9080727.516666668,8909465.356666667,9296007.17,30
baseline,small_data_4b_chunks,sse_stream,10229330.233333332,10053321.657083334,10442591.522083333,30
baseline,small_data_event_chunks,sse_core,4717699.3625,4612196.7768749995,4834185.04125,30
baseline,small_data_event_chunks,sse_stream,4636502.589182357,4511755.622344114,4765641.494195368,30
baseline,small_data_tcp_chunks,sse_core,3442637.358785948,3381582.524537488,3506476.866531419,30
baseline,small_data_tcp_chunks,sse_stream,4080704.55287279,3968621.2136373967,4202320.435416392,30
baseline,small_data_whole_stream_chunk,sse_core,3460817.522900848,3382711.0690680207,3546161.5954799294,30
baseline,small_data_whole_stream_chunk,sse_stream,4081380.5039066984,3969585.3226318224,4196894.660429659,30
