kind,case,bytes,chunks,events,validation
decode,small_data_whole_stream_chunk,1700000,1,100000,all_three_match_reference
decode,small_data_tcp_chunks,1700000,1165,100000,all_three_match_reference
decode,small_data_event_chunks,1700000,100000,100000,all_three_match_reference
decode,small_data_4b_chunks,1700000,425000,100000,all_three_match_reference
decode,metadata_events_tcp_chunks,2088890,1431,50000,all_three_match_reference
decode,multiline_data_tcp_chunks,1900000,1302,50000,all_three_match_reference
decode,keepalive_whole_stream_chunk,2600000,1,0,all_three_match_reference
decode,keepalive_tcp_chunks,2600000,1781,0,all_three_match_reference
decode,keepalive_line_chunks,2600000,200000,0,all_three_match_reference
decode,keepalive_4b_chunks,2600000,650000,0,all_three_match_reference
decode,large_data_event_chunks,2561408,64,64,all_three_match_reference
decode,large_data_tcp_chunks,2561408,1755,64,all_three_match_reference
decode,medium_data_10b_chunks,1054208,105421,256,all_three_match_reference
decode,json_line_tcp,2440000,1672,20000,all_three_match_reference
decode,json_metadata_after_tcp,2720000,1864,20000,all_three_match_reference
decode,json_crlf_tcp,3100000,2124,20000,all_three_match_reference
decode,large_utf8_tcp,2561024,1755,64,all_three_match_reference
decode,large_utf8_event,2561024,64,64,all_three_match_reference
decode,large_json_utf8_tcp,2561728,1755,64,all_three_match_reference
decode,large_json_escaped_tcp,2561728,1755,64,all_three_match_reference
decode,large_json_base64_tcp,2561216,1755,64,all_three_match_reference
decode,mixed_json_tcp,1620190,1110,10010,all_three_match_reference
decode,mixed_json_whole,1620190,1,10010,all_three_match_reference
decode,mixed_multiline_tcp,570190,391,10010,all_three_match_reference
decode,mixed_multiline_whole,570190,1,10010,all_three_match_reference
decode,alternating_sizes_tcp,2569024,1760,128,all_three_match_reference
decode,varied_sizes_tcp,627840,431,64,all_three_match_reference
decode,comment_crlf_tcp,600000,411,0,all_three_match_reference
encode,small_json,37,1,1,identical_wire
encode,metadata_json,79,1,1,identical_wire
encode,large_ascii,40008,1,1,identical_wire
encode,large_utf8,40016,1,1,identical_wire
encode,empty_with_retry,49,1,1,identical_wire
