kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,small_data_whole_stream_chunk,1,current,3921978.982142856,3843462.0,3857353.7043749993,4002675.184375001
decode,small_data_whole_stream_chunk,1,published,5042535.54375,5009279.125,5007362.42359375,5085311.149687501
decode,small_data_whole_stream_chunk,1,core,3384656.4214285715,3248311.4285714286,3292327.6170535716,3496080.7422321434
decode,small_data_whole_stream_chunk,2,current,4333305.796428573,4118712.5,4133625.439375001,4574973.677053573
decode,small_data_whole_stream_chunk,2,published,4749361.10625,4655196.5,4665845.49859375,4856870.85078125
decode,small_data_whole_stream_chunk,2,core,3791080.304166667,3504912.833333333,3578958.095520833,4046038.711979167
decode,small_data_whole_stream_chunk,3,current,4072466.185714286,3910310.3571428573,3945837.7637500004,4231994.117946425
decode,small_data_whole_stream_chunk,3,published,5235736.8125,5158089.625,5171648.4634375,5304399.744843749
decode,small_data_whole_stream_chunk,3,core,3474021.903125,3394522.0625,3407865.64171875,3553981.7960156254
decode,small_data_tcp_chunks,1,current,3988142.707142857,3872270.2857142854,3903756.8072321424,4093542.656607142
decode,small_data_tcp_chunks,1,published,5195700.574999999,4973314.7,5033887.613249998,5403323.828125
decode,small_data_tcp_chunks,1,core,3461581.6642857143,3274209.5714285714,3322112.794464285,3634195.6234821426
decode,small_data_tcp_chunks,2,current,4346445.060714287,4076633.1428571427,4158327.676071429,4580128.323035714
decode,small_data_tcp_chunks,2,published,5812142.11,5209635.800000001,5455004.398375,6210078.148000001
decode,small_data_tcp_chunks,2,core,3788076.2107142867,3540589.1428571427,3594673.297767858,4020415.1953571416
decode,small_data_tcp_chunks,3,current,4013113.8928571427,3892495.3571428573,3917252.9135714285,4132724.397678573
decode,small_data_tcp_chunks,3,published,5192111.720833335,4980388.416666667,5072833.103229166,5332097.241875001
decode,small_data_tcp_chunks,3,core,3506788.45,3390931.8571428573,3426794.327767857,3600840.6750892852
decode,small_data_event_chunks,1,current,4558815.437500002,4404869.166666666,4434749.522708333,4717912.058229167
decode,small_data_event_chunks,1,published,6142963.084999999,5756878.199999999,5936591.36125,6375391.123000001
decode,small_data_event_chunks,1,core,4675899.420833332,4419837.0,4505621.836250001,4892416.004062501
decode,small_data_event_chunks,2,current,4908079.97,4629799.5,4688111.120625001,5181776.768499999
