group,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
decode,progress_data_event,core,0,19,2745516,144500.84210526315,3000
decode,progress_data_event,combined,0,19,2885690,151878.42105263157,3000
decode,progress_data_event,baseline,0,15,2712042,180802.8,3000
decode,progress_data_event,fused,0,18,2902961,161275.61111111112,3000
decode,progress_data_event,simd,0,16,2825071,176566.9375,3000
decode,progress_data_event,core,1,19,2759251,145223.73684210525,3000
decode,progress_data_event,baseline,1,15,2771409,184760.6,3000
decode,progress_data_event,simd,1,16,2834777,177173.5625,3000
decode,progress_data_event,fused,1,18,2929162,162731.22222222222,3000
decode,progress_data_event,combined,1,19,2902698,152773.57894736843,3000
decode,progress_data_event,core,2,19,2756431,145075.31578947368,3000
decode,progress_data_event,fused,2,18,2913429,161857.16666666666,3000
decode,progress_data_event,baseline,2,15,2673925,178261.66666666666,3000
decode,progress_data_event,simd,2,16,2821103,176318.9375,3000
decode,progress_data_event,combined,2,19,2911084,153214.94736842104,3000
decode,progress_data_event,baseline,3,15,2651718,176781.2,3000
decode,progress_data_event,fused,3,18,2909165,161620.27777777778,3000
decode,progress_data_event,combined,3,19,2877320,151437.8947368421,3000
decode,progress_data_event,core,3,19,2860576,150556.63157894736,3000
decode,progress_data_event,simd,3,16,2867510,179219.375,3000
decode,progress_data_event,baseline,4,15,2660671,177378.06666666668,3000
decode,progress_data_event,simd,4,16,2834382,177148.875,3000
decode,progress_data_event,combined,4,19,2932531,154343.73684210525,3000
decode,progress_data_event,fused,4,18,2954404,164133.55555555556,3000
decode,progress_data_event,core,4,19,2759491,145236.36842105264,3000
decode,progress_data_event,simd,5,16,2826922,176682.625,3000
decode,progress_data_event,fused,5,18,2906462,161470.11111111112,3000
decode,progress_data_event,baseline,5,15,2652082,176805.46666666667,3000
decode,progress_data_event,combined,5,19,2883849,151781.52631578947,3000
decode,progress_data_event,core,5,19,2759892,145257.47368421053,3000
decode,progress_data_event,simd,6,16,2930295,183143.4375,3000
decode,progress_data_event,fused,6,18,2937616,163200.88888888888,3000
decode,progress_data_event,baseline,6,15,2681645,178776.33333333334,3000
decode,progress_data_event,core,6,19,2804568,147608.84210526315,3000
decode,progress_data_event,combined,6,19,3116795,164041.84210526315,3000
decode,progress_data_event,simd,7,16,2835599,177224.9375,3000
decode,progress_data_event,core,7,19,2785628,146612,3000
decode,progress_data_event,combined,7,19,2915004,153421.26315789475,3000
decode,progress_data_event,baseline,7,15,2677800,178520,3000
